source,metaedge,target
Gene::801,GiG,Gene::7428
Gene::5987,GiG,Gene::9412
Gene::5747,GiG,Gene::79738
Gene::3725,GiG,Gene::10514
Gene::10014,GiG,Gene::55844
Gene::2099,GiG,Gene::6206
Gene::4087,GiG,Gene::10589
Gene::9223,GiG,Gene::150084
Gene::960,GiG,Gene::57147
Gene::5108,GiG,Gene::7534
Gene::2033,GiG,Gene::8115
Gene::356,GiG,Gene::7341
Gene::996,GiG,Gene::4690
Gene::891,GiG,Gene::1017
Gene::467,GiG,Gene::8841
Gene::6921,GiG,Gene::162699
Gene::48,GiG,Gene::6445
Disease::DOID:10763,DdG,Gene::59335
Disease::DOID:11612,DdG,Gene::285362
Disease::DOID:1909,DdG,Gene::1041
Disease::DOID:986,DdG,Gene::80320
Disease::DOID:0050742,DdG,Gene::400961
Disease::DOID:14330,DdG,Gene::9167
Disease::DOID:8577,DdG,Gene::55450
Disease::DOID:9008,DdG,Gene::9693
Disease::DOID:9008,DdG,Gene::84629
Disease::DOID:9206,DdG,Gene::80157
Disease::DOID:332,DdG,Gene::41
Disease::DOID:9206,DdG,Gene::5694
Disease::DOID:1612,DdG,Gene::23336
Disease::DOID:0050741,DdG,Gene::26003
Anatomy::UBERON:0001893,AdG,Gene::1644
Anatomy::UBERON:0000002,AdG,Gene::150160
Anatomy::UBERON:0002081,AdG,Gene::51109
Anatomy::UBERON:0000996,AdG,Gene::25902
Anatomy::UBERON:0002240,AdG,Gene::3952
Anatomy::UBERON:0002369,AdG,Gene::253970
Anatomy::UBERON:0001675,AdG,Gene::149643
Anatomy::UBERON:0003126,AdG,Gene::79969
Anatomy::UBERON:0000995,AdG,Gene::534
Anatomy::UBERON:0001235,AdG,Gene::57118
Anatomy::UBERON:0002240,AdG,Gene::55876
Anatomy::UBERON:0000178,AdG,Gene::4133
Anatomy::UBERON:0002030,AdG,Gene::6745
Anatomy::UBERON:0001295,AdG,Gene::10928
Anatomy::UBERON:0001235,AdG,Gene::6304
Anatomy::UBERON:0002030,AdG,Gene::5142
Anatomy::UBERON:0000029,AdG,Gene::84247
Anatomy::UBERON:0002240,AdG,Gene::11117
Anatomy::UBERON:0000178,AdG,Gene::54840
Anatomy::UBERON:0002082,AdG,Gene::90843
Anatomy::UBERON:0000948,AdG,Gene::6622
Anatomy::UBERON:0000007,AdG,Gene::3987
Anatomy::UBERON:0002107,AdG,Gene::151473
Anatomy::UBERON:0002367,AdG,Gene::5795
Anatomy::UBERON:0001675,AdG,Gene::388951
Anatomy::UBERON:0000955,AdG,Gene::389541
Anatomy::UBERON:0000473,AdG,Gene::740
Anatomy::UBERON:0002082,AdG,Gene::55752
